participant_id,video_id,video_type,prime_type,classification_difficulty,action_match,trial,fixation_id,loop,frame,duration_ms,x_px,y_px
A110_002,33974,full,inpainted,Hard,1,21,1,1,19,145,212.758483,162.6826347
A110_002,33974,full,inpainted,Hard,1,21,1,1,20,145,212.758483,162.6826347
A110_002,33974,full,inpainted,Hard,1,21,1,1,21,145,212.758483,162.6826347
A110_002,33974,full,inpainted,Hard,1,21,1,1,22,145,212.758483,162.6826347
A110_002,33974,full,inpainted,Hard,1,21,1,1,23,145,212.758483,162.6826347
A110_002,33974,full,inpainted,Hard,1,21,1,1,24,145,212.758483,162.6826347
A110_002,33974,full,inpainted,Hard,1,21,1,1,25,145,212.758483,162.6826347
A110_002,33974,full,inpainted,Hard,1,21,1,1,26,145,212.758483,162.6826347
A110_002,33974,full,inpainted,Hard,1,21,1,1,27,145,212.758483,162.6826347
A110_002,33974,full,inpainted,Hard,1,21,2,1,30,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,31,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,32,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,33,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,34,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,35,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,36,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,37,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,38,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,39,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,40,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,41,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,42,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,43,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,44,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,45,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,46,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,47,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,48,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,49,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,50,834,269.1576846,125.7644711
A110_002,33974,full,inpainted,Hard,1,21,2,1,51,834,269.1576846,125.7644711
